"Usuario","Contrasinal","Shell","Cartafol","Enable"
"user1","p1","/bin/bash","/tmp","off"
"user2","p2","/bin/false","/home/user2","off"
"user3","p3","/bin/bash","/home/user3","on"
"user4","p4","/bin/bash","/tmp","off"
"user5","p5","/bin/bash","/tmp","on"
"user6","p6","/bin/false","/home/user6","on"
"user7","p7","/bin/bash","/tmp","on"
"user8","p8","/bin/bash","/home/user8","off"
"user9","p9","/bin/false","/tmp","on"
"user10","p10","/bin/bash","/tmp","off"
"user11","p11","/bin/bash","/tmp","off"
"user12","p12","/bin/false","/tmp","off"
"user13","p13","/bin/bash","/home/user13","off"
"user14","p14","/bin/bash","/home/user14","on"
